,cross,para,-1-2-,-2-3-,-2-9-,-1-10-,-9-16-,-17-18-,-18-19-,-18-20-,"Dist(1, 2)","Dist(2, 3)","Dist(2, 9)","Dist(1, 10)","Dist(9, 16)","Dist(17, 18)","Dist(18, 19)","Dist(18, 20)","Dist(16, 17)","Dist(10, 17)",dip_x,dip_y,dip_z,Total,NBO O 1,NBO B 2,NBO C 3,NBO O 9,NBO H 10,NBO H 16,NBO O 17,NBO C 18,NBO H 19,NBO C 20,diff O1 B2,diff B2 C3,diff B2 O9,diff O1 H10,diff O9 H16,diff H10 O17,diff H16 O17,diff O17 C18,diff C18 H19,diff C18 C20,B1,B5,L,output
Ph,1673.9294,1644.2966,1386.8303,1408.8716,1386.8303,3882.0603,3868.1685,1822.5005,1822.5005,1676.1444,1.372736803,1.562275812,1.365556696,0.961928942,0.962944788,1.205376101,1.105195192,1.480703147,2.479340193,2.747377446,-3.1434,-0.9304,1.8449,3.7618,-0.90526,1.13313,-0.41971,-0.90295,0.4902,0.49909,-0.54911,0.44109,0.12223,-0.17103,2.03839,1.55284,2.03608,1.39546,1.40204,1.03931,1.0482,0.9902,0.31886,0.61212,1.7,3.16,6.83,0.748188027
m_F,1682.7095,1654.8152,1388.1656,1409.9846,1388.1656,3883.0076,3868.4737,1822.4708,1822.4708,1822.4708,1.370784953,1.565014657,1.364064069,0.962000159,0.963036263,1.205431344,1.105141255,1.480897983,2.490305545,2.710783267,3.9296,-0.7684,-1.1232,4.1585,-0.90403,1.13329,-0.39065,-0.90121,0.49206,0.5004,-0.54921,0.44143,0.12286,-0.17,2.03732,1.52394,2.0345,1.39609,1.40161,1.04127,1.04961,0.99064,0.31857,0.61143,1.7,3.72,6.83,1.066325925
m_Me,1675.4523,1651.0696,1387.9945,1387.9945,1387.9945,3884.2761,3874.158,1824.5392,1824.5392,1824.5392,1.372383005,1.562321916,1.366233978,0.961803314,0.962670236,1.205058369,1.105578319,1.480892914,2.495676935,2.726944186,2.7469,-0.9484,-2.4256,3.7853,-0.90435,1.13363,-0.40654,-0.90278,0.48907,0.49842,-0.54736,0.44172,0.12011,-0.16663,2.03798,1.54017,2.03641,1.39342,1.4012,1.03643,1.04578,0.98908,0.32161,0.60835,1.7,4.39,6.81,0.711807229
m_naph,1644.1748,1705.3141,1375.155,1407.6436,1375.155,3885.7536,1375.155,1823.2243,1823.2243,1823.2243,1.371950113,1.561740413,1.365942184,0.961746825,0.962871486,1.205336384,1.105593933,1.48047123,2.478945857,2.725682004,-2.7156,-0.6354,2.2823,3.6037,-0.90399,1.13285,-0.41136,-0.90249,0.48973,0.49944,-0.54946,0.44201,0.11995,-0.16835,2.03684,1.54421,2.03534,1.39372,1.40193,1.03919,1.0489,0.99147,0.32206,0.61036,1.7,4.43,8.89,1.006466042
m_tfm,1682.5356,1663.3317,1401.5558,1415.6171,1415.6171,3883.3475,3869.0302,1822.4098,1822.4098,1822.4098,1.369186842,1.565736366,1.36356536,0.961982607,0.963098486,1.205415155,1.105138869,1.481097634,2.498606138,2.708387063,-4.7066,-0.4959,-0.5354,4.7629,-0.90264,1.13218,-0.40483,-0.90121,0.49367,0.50193,-0.54871,0.4414,0.12313,-0.16834,2.03482,1.53701,2.03339,1.39631,1.40314,1.04238,1.05064,0.99011,0.31827,0.60974,1.78,4.85,7.43,1.025305865
mm_F,1690.4356,1666.0158,1411.7755,1493.4601,1411.7755,1411.7755,3868.0986,1823.2373,1823.2373,1823.2373,1.368515548,1.567574182,1.3627414,0.96199799,0.963157748,1.205340572,1.105301932,1.481005196,2.467971917,2.701396727,-5.2914,1.2781,-0.7682,5.4975,-0.90156,1.13327,-0.36099,-0.90055,0.49293,0.50269,-0.5486,0.44165,0.12212,-0.16802,2.03483,1.49426,2.03382,1.39449,1.40324,1.04153,1.05129,0.99025,0.31953,0.60967,1.7,3.71,6.83,0.802773725
mm_oMe,1679.933,1648.0589,1411.4827,1411.4827,1402.1951,1411.4827,1411.4827,1824.7073,1824.7073,1824.7073,1.371349571,1.565340691,1.36535617,0.961743523,0.962612648,1.204970626,1.105546781,1.481279394,2.512664013,2.734479116,-1.2477,2.0009,-0.5862,2.4298,-0.90259,1.13592,-0.36518,-0.9012,0.48881,0.49794,-0.54652,0.44146,0.11994,-0.1644,2.03851,1.5011,2.03712,1.3914,1.39914,1.03533,1.04446,0.98798,0.32152,0.60586,1.7,4.57,7.58,0.788875116
o_F,1684.4892,1645.7197,1387.825,1387.825,1387.825,3877.7151,3870.9312,1823.8822,1823.8822,1654.202,1.366596344,1.567767687,1.366943517,0.962333748,0.962733387,1.205238994,1.10491846,1.481665967,2.503980294,2.745723224,2.6031,-0.9307,-0.7328,2.86,-0.88889,1.13133,-0.48094,-0.90414,0.48863,0.50019,-0.54831,0.4414,0.12386,-0.16937,2.02022,1.61227,2.03547,1.37752,1.40433,1.03694,1.0485,0.98971,0.31754,0.61077,1.7,3.7,6.85,1.066325925
o_Me,1671.2558,1638.1423,1382.5712,1393.5891,1382.5712,3876.3869,3869.8512,1823.2192,1823.2192,1654.6333,1.373534434,1.567654137,1.36883129,0.962429391,0.962663178,1.205261698,1.105418015,1.480737265,2.463748961,2.736110253,3.2129,-0.5664,-2.1814,3.9246,-0.90844,1.13411,-0.42851,-0.9079,0.49078,0.49901,-0.54845,0.44155,0.12157,-0.17003,2.04255,1.56262,2.04201,1.39922,1.40691,1.03923,1.04746,0.99,0.31998,0.61158,1.74,5.25,6.82,0.653212514
op_Me,1679.8405,1626.1743,1377.6015,1390.3247,1377.6015,1390.3247,3871.7022,1823.824,1823.824,1652.9541,1.374604392,1.56471286,1.369681408,0.962326031,0.9626336,1.205164513,1.105516419,1.480762061,2.439692623,2.76700526,3.2495,0.6075,1.3038,3.5537,-0.9086,1.13324,-0.43975,-0.90864,0.48961,0.49888,-0.54748,0.44138,0.12087,-0.16825,2.04184,1.57299,2.04188,1.39821,1.40752,1.03709,1.04636,0.98886,0.32051,0.60963,1.74,5.28,7.75,0.525044807
p_F,1674.8704,1656.6209,1387.3683,1405.4559,1387.3683,1405.4559,1387.3683,1421.6328,1822.3335,1822.3335,1.372543836,1.560321435,1.365432809,0.961997475,0.963005241,1.205471024,1.105063158,1.480753087,2.494816175,2.709735022,-4.7296,0.2694,-1.5786,4.9933,-0.90573,1.13282,-0.43715,-0.90289,0.49151,0.49949,-0.54933,0.44117,0.12322,-0.17204,2.03855,1.56997,2.03571,1.39724,1.40238,1.04084,1.04882,0.9905,0.31795,0.61321,1.7,3.14,7.41,0.829303773
p_Me,1631.5529,1683.0035,1386.3046,1562.0507,1386.3046,3884.9719,3871.3101,1823.8479,1823.8479,1823.8479,1.373318379,1.559942016,1.366643236,0.961732218,0.962860674,1.205124935,1.105543579,1.480777672,2.44533271,2.776447325,-3.0893,1.1358,-1.1076,3.4729,-0.90491,1.13256,-0.42898,-0.90435,0.48847,0.4993,-0.54737,0.44119,0.12042,-0.1664,2.03747,1.56154,2.03691,1.39338,1.40365,1.03584,1.04667,0.98856,0.32077,0.60759,1.7,3.17,7.75,0.574031268
p_MeO,1635.7921,1677.5377,1385.7375,1404.704,1404.704,1404.704,1385.7375,1421.9586,1824.4438,1824.4438,1.374707477,1.555614725,1.367670971,0.961668927,0.962831174,1.205143784,1.10553833,1.480673089,2.446099,2.778251763,-2.7495,0.9063,-2.6957,3.9557,-0.90641,1.13103,-0.45653,-0.90519,0.48809,0.49876,-0.54745,0.44111,0.12033,-0.16663,2.03744,1.58756,2.03622,1.3945,1.40395,1.03554,1.04621,0.98856,0.32078,0.60774,1.7,3.21,8.86,0.511883361
p_tBu,1622.4238,1680.1761,1386.0574,1386.0574,1386.0574,3884.5498,1386.0574,1824.1175,1824.1175,1824.1175,1.373817248,1.559742489,1.366725967,0.961784165,0.962956276,1.205165136,1.105431699,1.480790015,2.448382177,2.747405834,2.9467,-0.0997,1.7518,3.4295,-0.90576,1.13445,-0.43011,-0.90443,0.48858,0.49892,-0.5477,0.44133,0.12119,-0.16694,2.04021,1.56456,2.03888,1.39434,1.40335,1.03628,1.04662,0.98903,0.32014,0.60827,2.66,5.32,9.03,0.544068044
p_tfm,1690.9687,1642.1848,1392.8153,1452.6887,1392.8153,3880.3623,3865.9787,1821.9495,1821.9495,1655.4881,1.370054975,1.566554868,1.363238828,0.962134359,0.963243614,1.205486015,1.105049452,1.480932782,2.475098201,2.714565247,6.115,-0.6617,1.6994,6.3811,-0.90356,1.13347,-0.39612,-0.90111,0.49317,0.50174,-0.5493,0.44107,0.12362,-0.17201,2.03703,1.52959,2.03458,1.39673,1.40285,1.04247,1.05104,0.99037,0.31745,0.61308,2.11,3.15,8.16,0.550228353
