,flag,-2-3-,-2-7-,dip_x,dip_y,dip_z,Total,"Dist(1, 2)","Dist(2, 3)","Dist(2, 7)",NPA_1,NPA_2,NPA_3,NPA_7,diff 1 2,diff 2 3,diff 2 7,B1,B5,L,loc.B5,class
o_fluoro,1,1832.9322,3019.0117,-0.6455,-3.3003,-0.0006,3.3629,1.483332978,1.202702838,1.101531656,-0.25075,0.41847,-0.50952,0.1293,0.66922,0.92799,0.28917,1.7,3.7,6.75,1.55,1
m_bromo,2,1845.5642,2961.2319,-0.3203,-1.7881,-0.0004,1.8166,1.484737836,1.200268966,1.106927209,-0.16571,0.42554,-0.50431,0.11035,0.59125,0.92985,0.31519,1.72,4.82,6.82,4.47,1
m_chloro,3,1845.7037,2963.3397,-0.3652,-1.8222,0,1.8584,1.484180766,1.200372777,1.107115816,-0.16527,0.42522,-0.50464,0.10999,0.59049,0.92986,0.31523,1.74,4.53,6.74,4.4,1
m_cyano,4,1848.8381,2969.4907,2.1538,-0.2556,0,2.1689,1.485629763,1.199670116,1.106637571,-0.17558,0.42445,-0.4992,0.11344,0.60003,0.92365,0.31101,1.7,4.95,6.75,4.85,1
m_fluoro,5,1846.3146,2963.0286,-0.4485,-1.8748,0.0003,1.9277,1.484496147,1.200265542,1.107173389,-0.15885,0.42429,-0.50457,0.10889,0.58314,0.92886,0.3154,1.7,3.72,6.74,4.2,1
m_iodo,6,1844.8682,2962.834,-0.5202,-1.912,0.0005,1.9815,1.48444905,1.200380714,1.107031479,-0.16785,0.42587,-0.50483,0.11022,0.59372,0.9307,0.31565,1.72,5.19,7.12,4.57,1
m_methyl_formyl,7,1845.3263,2966.3043,-2.0514,-0.8379,0,2.2159,1.482498352,1.200978501,1.107257029,-0.18639,0.42556,-0.50884,0.10938,0.61195,0.9344,0.31618,1.74,6.58,7.29,3.49,1
m_trifluoromethyl,8,1846.4702,2963.9021,0.5969,-1.1362,0.0001,1.2835,1.484340404,1.200224695,1.106922742,-0.17616,0.42448,-0.50317,0.11164,0.60064,0.92765,0.31284,1.93,4.92,6.87,3.53,1
p_bromo,9,1842.0113,2963.8591,-1.7807,-1.1071,0.0003,2.0968,1.481539115,1.201085556,1.107185145,-0.18641,0.42429,-0.50861,0.10862,0.6107,0.9329,0.31567,1.95,3.16,8.48,4.1,1
p_chloro,10,1840.6704,2960.0426,-1.7856,-1.1842,-0.0008,2.1425,1.480324188,1.201389951,1.107291784,-0.18884,0.42394,-0.50988,0.10835,0.61278,0.93382,0.31559,1.8,3.15,8.17,4.11,1
p_cyano,11,1847.56,2969.5513,-1.7541,1.9689,-0.001,2.6369,1.486214984,1.199694125,1.106575918,-0.158,0.42171,-0.49716,0.11214,0.57971,0.91887,0.30957,1.7,3.16,8.73,4.1,1
p_fluoro,12,1840.1692,2953.871,-1.7911,-1.3138,0.0001,2.2213,1.479005108,1.201678131,1.107559516,-0.20142,0.42489,-0.51387,0.10744,0.62631,0.93876,0.31745,1.7,3.15,7.31,4.12,1
p_iodo,13,1842.1611,2965.6107,-1.7809,-1.3303,0.0004,2.2229,1.482041435,1.201035267,1.107130337,-0.18447,0.42441,-0.50812,0.10862,0.60888,0.93253,0.31579,2.14,3.16,8.88,4.1,1
p_methyl_formyl,14,1845.6279,2963.8384,-0.0286,-2.0041,0.0004,2.0043,1.484278807,1.200646579,1.107177453,-0.16051,0.42313,-0.50434,0.10916,0.58364,0.92747,0.31397,1.83,3.17,9.64,8.03,1
p_trifluoromethyl,15,1847.2682,2968.3094,-1.859,0.2009,0.0005,1.8698,1.485093013,1.200032306,1.106976509,-0.16445,0.42345,-0.50093,0.11053,0.5879,0.92438,0.31292,2.14,3.16,8.03,4.1,1
mm_dibromo,16,1848.7914,2966.4746,-1.7346,-0.9178,0.0002,1.9625,1.48707592,1.199177953,1.106512449,-0.14973,0.42582,-0.49677,0.11369,0.57555,0.92259,0.31213,1.95,4.8,6.88,4.49,1
mm_dichloro,17,1848.6722,2971.5697,-1.7451,-0.9473,0.0001,1.9856,1.486660478,1.199333852,1.106461759,-0.1496,0.42517,-0.49747,0.11314,0.57477,0.92264,0.31203,1.8,4.5,6.74,4.41,1
epiandrosterone,18,1842.9484,2964.687,2.0288,-4.1174,1.0094,4.6998,1.482823181,1.201171014,1.106877374,-0.18526,0.42565,-0.50993,0.11173,0.61091,0.93558,0.31392,2.05,12.09,15.85,12.57,1
quinoline,19,1839.1209,3025.1439,-2.3384,-0.4269,-0.0001,2.377,1.49217325,1.201286671,1.101217483,-0.11763,0.4173,-0.49743,0.11596,0.53493,0.91473,0.30134,1.7,5.59,6.97,2.12,1
benzo_thiophene,20,1827.5213,2979.2116,-1.0911,-3.1004,0.0003,3.2868,1.471162863,1.202244762,1.105501474,-0.32819,0.40494,-0.50375,0.11672,0.73313,0.90869,0.28822,1.7,3.67,8.62,4.64,1
diacetone_glucose,21,1843.971,2959.3217,-1.0876,-0.2794,-0.1836,1.1378,1.482166225,1.201080155,1.107298605,-0.18738,0.42632,-0.50956,0.10879,0.6137,0.93588,0.31753,2.01,11,7.86,4.58,1
thiophene,22,1823.4521,2970.6716,-1.4633,-3.0153,0.0002,3.3516,1.465865236,1.203101032,1.106100595,-0.371,0.40412,-0.51081,0.11493,0.77512,0.91493,0.28919,1.7,3.17,6.17,2.36,1
o_bromo,23,1832.7758,3034.4686,-0.3971,-3.1713,-0.0004,3.1961,1.489401445,1.201914526,1.100543288,-0.21436,0.4197,-0.50681,0.13146,0.63406,0.92651,0.28824,1.79,4.84,6.75,1.47,2
o_chloro,24,1832.0792,3037.969,-0.473,-3.1862,0.0004,3.2212,1.48812658,1.202298759,1.100586969,-0.20627,0.41877,-0.50791,0.13121,0.62504,0.92668,0.28756,1.74,4.53,6.75,1.5,2
o_ethynyl,25,1834.7119,3014.4991,-1.5498,-2.7789,0,3.1818,1.486243275,1.202552792,1.102732968,-0.1427,0.41675,-0.51039,0.13057,0.55945,0.92714,0.28618,1.7,5.52,6.75,0.59,2
o_hydroxy,26,1825.5488,3023.0306,-2.7046,-3.8793,0.0001,4.7291,1.481095075,1.204611072,1.101257419,-0.2398,0.41832,-0.52092,0.13084,0.65812,0.93924,0.28748,1.7,4.11,6.74,2.12,2
o_methoxy,27,1823.2952,3035.1126,-3.189,-3.5417,0.0005,4.7659,1.481969348,1.204975596,1.100727191,-0.23039,0.41887,-0.52282,0.1305,0.64926,0.94169,0.28837,1.76,5.35,6.74,1.42,2
o_methyl,28,1829.4622,2994.2139,-2.2483,-2.5213,-0.0001,3.3781,1.483355501,1.20374761,1.10397608,-0.18804,0.41899,-0.51646,0.11199,0.60703,0.93545,0.307,1.77,4.34,6.73,2.3,2
o_trifluoro,29,1837.2174,3047.5416,0.5733,-3.6027,-0.003,3.648,1.496453333,1.201369764,1.099762502,-0.14887,0.41497,-0.50267,0.13302,0.56384,0.91764,0.28195,1.94,4.87,6.76,2.49,2
o_trifluoromethoxy,30,1832.5363,3030.545,-0.0652,-3.1418,-0.0002,3.1425,1.487093358,1.202590005,1.100471931,-0.21676,0.41808,-0.50806,0.13343,0.63484,0.92614,0.28465,1.89,5.81,6.74,1.09,2
m_methyl,31,1839.7537,2953.9132,-2.1647,-3.0719,0,3.758,1.480694182,1.201837174,1.1078793,-0.176,0.42593,-0.51378,0.10521,0.60193,0.93971,0.32072,1.76,4.41,6.72,3.61,2
m_methoxy,32,1843.0276,2945.5068,-2.8617,-2.0061,0,3.4948,1.482651429,1.201019419,1.10828225,-0.15976,0.42636,-0.51053,0.10336,0.58612,0.93689,0.323,1.76,5.38,6.72,4.38,2
m_oBoc,33,1843.8402,2961.1773,-2.8655,-3.4702,-0.0835,4.5012,1.48238508,1.200934793,1.10752432,-0.16886,0.42555,-0.5091,0.10744,0.59441,0.93465,0.31811,1.71,7.59,10.19,7.59,2
p_diethoxymethyl,34,1840.7164,2958.7235,-1.414,-3.2179,0.2196,3.5217,1.480657601,1.201686514,1.107804152,-0.18426,0.42513,-0.51292,0.10583,0.60939,0.93805,0.3193,1.92,5.19,10.95,4.58,2
p_isopropyl,35,1837.1635,2954.4548,-1.7986,-3.4547,0,3.8948,1.478215104,1.202402116,1.107981856,-0.19314,0.42561,-0.51746,0.10495,0.61875,0.94307,0.32066,2.51,3.17,8.83,5.96,2
p_methoxy,36,1832.6651,2950.0894,-0.5404,-3.7902,0.0005,3.8285,1.474248798,1.20343193,1.108229165,-0.22,0.42489,-0.5252,0.10418,0.64489,0.95009,0.32071,1.78,3.15,8.8,4.11,2
